LIDNUM,LAT,LONG,TIMEUNIT,NUMBER OF FIRST OCCURRENCES,NUMBER OF LAST OCCURRENCES,NUMBER OF OCCURRENCES,PROPORTION OF FIRST OCCURRENCES,PROPORTION OF LAST OCCURRENCES
28133,39.3833333333333,-8.98333333333333,MQ18,0.0,0.0,1.0,0.0,0.0
23068,38.917,-3.083,MN6,0.0,0.0,1.0,0.0,0.0
27274,40.4047385461321,-3.72260570526123,MN6,2.0,3.0,14.0,0.14285714285714285,0.21428571428571427
20858,39.5,22.5,MN12,0.0,0.0,4.0,0.0,0.0
21034,39.15,22.45,MN16,5.0,0.0,8.0,0.625,0.0
20111,38.425,24.038888888888913,MN4,14.0,17.0,27.0,0.5185185185185185,0.6296296296296297
21287,40.3333333333333,-1.0833,MN12,8.0,2.0,15.0,0.5333333333333333,0.13333333333333333
27931,48.3303,9.7323,MN1,1.0,2.0,7.0,0.14285714285714285,0.2857142857142857
20391,40.17,-0.17,MN17,2.0,6.0,21.0,0.09523809523809523,0.2857142857142857
24771,40.17,-0.17,MN16,5.0,2.0,9.0,0.5555555555555556,0.2222222222222222
20073,40.0,0.0,MN13,6.0,4.0,14.0,0.42857142857142855,0.2857142857142857
24438,45.5,12.0,MQ18,0.0,2.0,2.0,0.0,1.0
24773,37.7166,-2.5333,MN17,0.0,0.0,1.0,0.0,0.0
20614,47.0,92.6,MN11,1.0,1.0,10.0,0.1,0.1
20895,46.717,30.5,MQ19,1.0,7.0,7.0,0.14285714285714285,1.0
23559,38.766,28.953000000000007,MN5,0.0,0.0,1.0,0.0,0.0
21316,48.25,13.583,MN10,0.0,1.0,1.0,0.0,1.0
24650,40.67,-0.67,MN3,2.0,0.0,3.0,0.6666666666666666,0.0
23153,49.75,8.167,MN3,1.0,0.0,1.0,1.0,0.0
24373,48.3667,16.3333,MN5,2.0,1.0,2.0,1.0,0.5
23344,37.617,28.46,MN12,1.0,1.0,1.0,1.0,1.0
23345,37.651,28.48,MN13,1.0,4.0,5.0,0.2,0.8
28332,10.405894004915202,40.45390248298646,MN14,5.0,8.0,19.0,0.2631578947368421,0.42105263157894735
28333,10.413428311651149,40.44775485992432,MN14,3.0,8.0,17.0,0.17647058823529413,0.47058823529411764
21553,45.917,4.7330000000000005,MN11,0.0,10.0,27.0,0.0,0.37037037037037035
21660,45.917,4.7330000000000005,MN10,6.0,0.0,21.0,0.2857142857142857,0.0
21587,45.917,4.7330000000000005,MN10,7.0,0.0,26.0,0.2692307692307692,0.0
21414,45.917,4.7330000000000005,MN11,2.0,8.0,22.0,0.09090909090909091,0.36363636363636365
21488,46.098075,7.066846000000001,MN2,0.0,0.0,1.0,0.0,0.0
21314,50.5,8.5,MN2,1.0,1.0,1.0,1.0,1.0
21580,39.8,-8.867,MN5,1.0,1.0,5.0,0.2,0.2
21512,41.917,-4.783,MN10,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333
21428,41.917,-4.783,MN9,2.0,2.0,7.0,0.2857142857142857,0.2857142857142857
28259,42.9736111111111,1.96694444444444,MQ19,0.0,1.0,2.0,0.0,0.5
20628,42.3675,112.7408,MN9,1.0,5.0,8.0,0.125,0.625
21263,27.833,39.167,MQ18,0.0,1.0,1.0,0.0,1.0
21264,27.417,39.333,MQ18,0.0,0.0,2.0,0.0,0.0
21265,28.333,39.667,MQ18,0.0,1.0,2.0,0.0,0.5
23266,11.0,43.0,MQ18,0.0,10.0,11.0,0.0,0.9090909090909091
20135,47.7,30.0,MN13,1.0,2.0,5.0,0.2,0.4
21240,45.233,4.783,MN11,0.0,0.0,3.0,0.0,0.0
27797,47.6125049,8.688540699999999,MN4,3.0,0.0,3.0,1.0,0.0
27676,-25.2,46.633333333333304,recent,36.0,39.0,39.0,0.9230769230769231,1.0
21146,47.97,33.4,MN9,1.0,1.0,1.0,1.0,1.0
21205,46.8,30.0,MN15,0.0,2.0,3.0,0.0,0.6666666666666666
23180,48.367,16.817,MN10,0.0,0.0,1.0,0.0,0.0
27675,-22.9166666666667,43.883333333333304,recent,29.0,31.0,31.0,0.9354838709677419,1.0
20862,41.0,23.5,MN12,1.0,0.0,2.0,0.5,0.0
20588,41.0,23.5,MN13,4.0,2.0,13.0,0.3076923076923077,0.15384615384615385
20996,40.437093,23.093244,MN5,4.0,2.0,13.0,0.3076923076923077,0.15384615384615385
28318,-19.867,47.033,recent,1.0,1.0,1.0,1.0,1.0
20751,51.217,4.417,MN15,1.0,0.0,2.0,0.5,0.0
20600,47.451666666666696,7.943055555555563,MN7-8,8.0,18.0,60.0,0.13333333333333333,0.3
23208,2.9,36.05,MN15,7.0,8.0,24.0,0.2916666666666667,0.3333333333333333
24576,47.1878,14.8256,MN6,1.0,1.0,7.0,0.14285714285714285,0.14285714285714285
24392,37.0,22.58333,MQ18,2.0,0.0,4.0,0.5,0.0
24393,37.0,22.58333,MQ18,3.0,0.0,7.0,0.42857142857142855,0.0
24394,37.0,22.58333,MQ18,5.0,0.0,9.0,0.5555555555555556,0.0
24395,37.0,22.58333,MQ18,2.0,0.0,4.0,0.5,0.0
20473,36.067,27.8,MN15,2.0,1.0,7.0,0.2857142857142857,0.14285714285714285
21039,40.75,23.3,MQ18,9.0,9.0,19.0,0.47368421052631576,0.47368421052631576
